customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00083,Male,1,No,Yes,17,No,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,85.1,1506.08,Yes
CUST00084,Female,0,Yes,Yes,68,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,35.71,2340.52,No
CUST00085,Female,0,Yes,No,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,77.1,368.79,Yes
CUST00086,Female,0,No,No,32,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Credit card,90.26,2836.83,Yes
CUST00087,Male,0,Yes,No,5,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,66.64,322.15,No
CUST00088,Male,0,No,No,32,Yes,DSL,No,Yes,Yes,No,Yes,One year,No,Bank transfer,87.09,2855.72,Yes
CUST00089,Female,0,Yes,No,47,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,93.83,4404.04,Yes
CUST00090,Female,0,Yes,No,63,No,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,55.79,3386.4,Yes
CUST00091,Male,0,Yes,No,10,Yes,Fiber optic,Yes,Yes,No,Yes,No,Two year,No,Mailed check,105.22,1091.2,No
CUST00092,Female,1,No,No,64,Yes,DSL,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,72.49,4676.83,Yes
CUST00093,Female,0,No,No,72,Yes,DSL,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,121.66,8713.09,No
CUST00094,Male,0,Yes,No,4,Yes,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,106.74,440.63,Yes
CUST00095,Female,0,Yes,Yes,70,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,84.16,6005.97,Yes
CUST00096,Male,0,Yes,Yes,66,Yes,Fiber optic,Yes,No,Yes,No,No,One year,No,Electronic check,53.7,3475.06,No
CUST00097,Male,0,No,No,2,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,71.21,219.26,Yes
CUST00098,Female,1,No,No,4,No,DSL,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,99.2,498.04,No
CUST00099,Female,0,No,No,52,Yes,DSL,No,Yes,No,No,No,Month-to-month,No,Bank transfer,60.01,3134.59,No
CUST00100,Male,0,Yes,Yes,30,Yes,Fiber optic,No,No,No,Yes,Yes,Two year,Yes,Credit card,84.84,2446.88,No
CUST00101,Female,0,No,No,19,Yes,DSL,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card,87.66,1770.09,No
CUST00102,Male,0,Yes,No,29,Yes,Fiber optic,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,71.19,2137.79,Yes
CUST00103,Female,0,Yes,No,24,Yes,Fiber optic,Yes,No,No,No,No,Month-to-month,No,Bank transfer,53.46,1326.91,Yes
CUST00104,Male,0,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,113.94,8085.55,No
CUST00105,Female,1,Yes,No,17,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,85.88,1552.55,Yes
CUST00106,Female,0,Yes,No,6,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,66.45,330.69,No
CUST00107,Female,0,No,No,60,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,54.25,,No
CUST00108,Female,0,Yes,No,61,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,96.46,5858.32,No
CUST00109,Male,0,No,No,65,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,72.26,4562.78,Yes
CUST00110,Female,1,No,No,70,Yes,DSL,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,98.44,6810.43,Yes
CUST00111,Male,0,No,Yes,2,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card,,134.21,No
CUST00112,Female,0,No,No,56,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.57,4585.7,Yes
CUST00113,Female,0,No,No,19,Yes,DSL,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer,62.01,1213.65,No
CUST00114,Male,0,Yes,Yes,30,Yes,DSL,No,No,Yes,No,Yes,One year,No,Electronic check,117.54,3496.84,No
CUST00115,Female,0,Yes,No,32,Yes,Fiber optic,No,No,No,Yes,Yes,One year,Yes,Electronic check,83.21,2679.6,No
CUST00116,Female,0,No,No,71,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.11,3536.85,No
CUST00117,Male,0,No,Yes,38,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,97.37,3888.86,No
CUST00118,Male,0,No,No,16,No,DSL,Yes,No,Yes,No,Yes,One year,No,Mailed check,104.87,1646.55,No
CUST00119,Male,0,No,Yes,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,65.57,475.4,No
CUST00120,Male,0,No,No,42,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,53.76,2309.65,No
CUST00121,Male,0,No,No,60,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,18.93,,Yes
CUST00122,Female,0,No,No,51,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,No,Bank transfer,101.52,5073.41,Yes
CUST00123,Female,0,No,No,68,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,30.17,2162.75,No
CUST00124,Male,0,No,Yes,3,Yes,DSL,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,72.79,238.28,No
CUST00125,Female,0,No,No,29,Yes,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,30.87,847.96,Yes
CUST00126,Female,0,No,Yes,44,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,119.03,5166.57,No
CUST00127,Male,0,No,No,62,No,DSL,No,No,No,No,No,Month-to-month,No,Credit card,107.36,6677.2,No
CUST00128,Female,1,Yes,No,22,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,81.5,1717.97,No
CUST00129,Female,0,Yes,Yes,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,100.19,4863.81,Yes
CUST00130,Female,0,No,No,15,Yes,Fiber optic,No,No,No,Yes,Yes,Two year,Yes,Electronic check,70.69,1013.04,Yes
CUST00131,Female,0,Yes,No,43,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,53.38,2299.03,Yes
CUST00132,Female,0,Yes,No,56,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.09,1845.08,No
CUST00133,Male,0,No,Yes,59,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,93.8,5508.78,Yes
CUST00134,Female,0,No,No,32,Yes,DSL,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,48.77,1543.63,No
CUST00135,Female,0,No,Yes,34,No,DSL,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,137.16,4672.1,No
CUST00136,Male,0,No,No,64,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,46.19,2896.28,Yes
CUST00137,Female,1,Yes,No,39,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,99.3,3825.72,No
CUST00138,Male,0,Yes,No,25,Yes,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,105.9,2610.11,No
CUST00139,Male,0,No,No,20,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.51,833.24,No
CUST00140,Male,1,Yes,No,51,Yes,Fiber optic,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,62.76,3329.46,No
CUST00141,Female,1,No,No,51,Yes,DSL,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,68.25,3381.09,No
CUST00142,Male,0,No,No,39,Yes,DSL,No,Yes,No,Yes,No,One year,Yes,Mailed check,150.0,5869.13,No
CUST00143,Male,0,No,No,11,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,67.87,728.21,No
CUST00144,Male,0,No,No,11,Yes,DSL,No,No,Yes,Yes,Yes,Two year,No,Mailed check,45.55,487.47,No
CUST00145,Female,0,No,No,17,Yes,DSL,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,86.29,1427.89,Yes
CUST00146,Female,0,No,Yes,0,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,47.81,91.3,No
CUST00147,Male,0,Yes,No,35,Yes,Fiber optic,No,No,No,Yes,Yes,Two year,No,Credit card,72.46,2342.03,No
CUST00148,Male,0,No,No,30,Yes,Fiber optic,Yes,No,No,No,Yes,Two year,Yes,Electronic check,62.63,1788.05,No
CUST00149,Female,0,Yes,No,28,Yes,Fiber optic,Yes,No,No,Yes,No,Two year,Yes,Bank transfer,86.95,2521.8,No
CUST00150,Male,0,No,No,68,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,59.97,4171.15,Yes
CUST00151,Female,0,Yes,Yes,17,Yes,DSL,No,No,Yes,No,No,Two year,No,Credit card,56.6,1103.0,No
CUST00152,Male,0,No,Yes,59,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,100.98,5982.35,Yes
CUST00153,Female,0,No,No,14,Yes,Fiber optic,No,No,Yes,No,Yes,Two year,No,Electronic check,81.23,,Yes
CUST00154,Male,1,Yes,No,44,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer,74.71,3138.19,No
CUST00155,Male,0,No,No,62,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.88,1604.79,No
CUST00156,Female,0,Yes,No,61,Yes,DSL,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,89.55,5507.31,No
CUST00157,Male,0,Yes,Yes,43,No,Fiber optic,No,No,Yes,No,No,One year,No,Bank transfer,62.23,2636.86,No
CUST00158,Female,0,Yes,No,15,Yes,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,80.96,1207.02,Yes
CUST00159,Female,0,Yes,No,27,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer,27.89,851.6,No
CUST00160,Female,0,No,No,30,Yes,DSL,Yes,No,No,No,No,Two year,No,Mailed check,80.93,2544.44,No
CUST00161,Female,0,No,Yes,61,No,Fiber optic,No,No,Yes,Yes,No,Two year,Yes,Credit card,78.83,4828.65,Yes
CUST00162,Female,0,No,No,27,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,68.26,1838.95,No
CUST00163,Male,0,No,No,60,Yes,Fiber optic,Yes,Yes,Yes,No,No,One year,No,Mailed check,51.85,3169.31,No
CUST00164,Male,0,No,No,69,Yes,DSL,No,No,No,No,Yes,One year,Yes,Electronic check,,7087.8,Yes
CUST00165,Male,0,No,No,8,Yes,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,55.34,526.24,No
CUST00166,Female,1,No,Yes,68,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,96.75,6537.01,No
CUST00167,Male,0,Yes,No,41,Yes,DSL,No,Yes,No,No,No,One year,Yes,Credit card,100.18,4167.38,No
CUST00168,Male,0,No,Yes,43,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,53.19,2285.6,No
CUST00169,Male,0,No,No,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,92.7,1989.87,No
CUST00170,Male,0,Yes,No,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,63.26,1546.97,No
CUST00171,Male,0,Yes,Yes,39,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,89.96,3477.06,Yes
CUST00172,Male,0,Yes,No,14,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,No,Credit card,50.6,787.94,No
CUST00173,Female,0,Yes,Yes,52,Yes,DSL,Yes,No,No,No,No,Month-to-month,No,Bank transfer,71.12,3618.69,Yes
CUST00174,Female,0,No,No,48,Yes,DSL,No,No,No,Yes,Yes,One year,Yes,Electronic check,75.93,3662.61,Yes
CUST00175,Female,0,Yes,Yes,0,Yes,Fiber optic,No,Yes,No,No,No,Two year,No,Bank transfer,73.27,0.0,No
CUST00176,Male,0,No,No,15,Yes,DSL,No,No,Yes,Yes,Yes,One year,No,Credit card,83.53,1349.04,No
CUST00177,Female,0,No,No,37,Yes,DSL,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,53.78,2047.03,No
CUST00178,Male,0,Yes,Yes,54,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,60.19,3246.68,Yes
CUST00179,Female,1,No,No,21,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,91.85,1927.63,Yes
CUST00180,Female,0,No,Yes,64,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,63.69,4210.91,No
CUST00181,Female,0,No,No,38,Yes,DSL,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card,61.57,2400.39,No
CUST00182,Male,0,No,Yes,39,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,52.95,2004.59,No
CUST00183,Male,0,No,No,8,Yes,Fiber optic,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,62.5,574.78,Yes
CUST00184,Female,0,Yes,Yes,45,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Credit card,,2129.38,No
CUST00185,Male,0,Yes,Yes,59,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,92.23,5453.81,No
CUST00186,Male,0,Yes,Yes,15,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,62.77,773.69,No
CUST00187,Male,0,Yes,No,39,Yes,Fiber optic,No,No,Yes,No,Yes,Two year,Yes,Bank transfer,46.91,1894.69,No
CUST00188,Male,0,No,No,0,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,68.92,0.0,No
CUST00189,Male,1,Yes,No,15,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,39.09,569.74,Yes
CUST00190,Male,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,52.61,151.6,No
CUST00191,Female,1,Yes,Yes,56,Yes,DSL,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,107.86,6054.59,No
CUST00192,Female,0,No,No,72,Yes,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,46.8,3375.24,Yes
CUST00193,Female,1,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,70.41,38.87,No
CUST00194,Male,0,No,No,51,Yes,Fiber optic,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,129.16,6589.77,No
CUST00195,Female,0,No,No,43,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,80.23,3428.68,Yes
